NT,NR,NTR,g2(0)
132048,2589,27,1.9744216050373338
132351,2620,20,1.4419210633579538
132771,2595,35,2.5396125500338136
132177,2625,21,1.5131225553613714
132293,2710,21,1.4643778375981549
132305,2624,31,2.232346545906032
132473,2738,26,1.7920599799497714
132485,2683,17,1.1956430598103842
132046,2611,20,1.4502333318113618
132298,2653,25,1.7806947920067853
132247,2683,21,1.4796288879937023
132438,2601,19,1.3789249946028876
133127,2629,30,2.1429129626785164
132493,2647,29,2.0672411028801427
132569,2678,30,2.1125583362563156
133234,2727,29,1.9954359947555869
132396,2709,25,1.7425937340611923
132711,2695,29,2.0270866588913217
132769,2638,33,2.3554965534916907
132130,2587,25,1.8284460627866144
132402,2637,32,2.2913177097200284
132305,2654,19,1.3527465468154112
131894,2622,35,2.5301736363032066
132708,2632,31,2.2188028418632935
132357,2668,20,1.4159152659215168
132614,2593,21,1.5267481832321859
132827,2570,30,2.1970592859457723
132924,2694,21,1.4660821640029544
132923,2661,30,2.1203924751477916
132053,2621,21,1.5168548008192968
132878,2590,25,1.8160473615853738
132568,2620,25,1.799450986064591
133180,2606,34,2.449094278835089
133019,2588,21,1.5250404141519427
133154,2558,26,1.908352504251134
131889,2584,17,1.2470614244594038
132691,2504,21,1.580096138707328
132267,2580,19,1.3919460419589387
132350,2603,32,2.32215857411336
132358,2655,28,1.9919724081088188
132503,2683,24,1.6877373691851993
132386,2655,34,2.4183120506224975
132579,2832,34,2.2638671504374988
132424,2577,27,1.9779834442961532
132769,2682,28,1.965814717952571
133342,2623,24,1.7154813263481754
132535,2675,31,2.185985786156293
132754,2733,30,2.067159635179068
132067,2633,24,1.7254646993489484
131903,2710,25,1.7484614168977408
