NT,NR,NTR,g2(0)
132114,2463,17,1.3060977351644492
132183,2531,18,1.3450696217451703
132190,2473,27,2.064814559616198
132581,2524,32,2.390668427425839
133247,2377,27,2.131165373416056
132470,2376,25,1.985711014170288
133271,2489,19,1.431967154568425
131868,2371,16,1.279348952623239
132615,2510,22,1.6523282130686243
132139,2475,22,1.6817307700392936
132714,2472,25,1.9050869931609022
132739,2460,22,1.68433720136778
132639,2443,27,2.083094953976517
132410,2454,23,1.7695893697104281
132090,2453,19,1.4659735050133362
132195,2476,22,1.6803394358984416
132622,2352,24,1.9235273243981128
132251,2506,26,1.9612516655024577
132368,2419,23,1.7957627943133418
131869,2504,26,1.9685040800850937
132577,2553,27,1.9942737398811325
132502,2440,25,1.9331598087848227
132757,2524,18,1.3429682130645213
133044,2520,35,2.6098299977618096
132992,2485,25,1.8911592751891524
132572,2502,25,1.8842603254993688
132478,2462,31,2.3761283221631184
131685,2430,18,1.4062739506032214
132091,2451,16,1.2355019979441801
132699,2476,34,2.5870250576568754
133508,2565,23,1.6790869458085933
132532,2557,19,1.4016582248283636
132901,2513,36,2.694770423420264
132827,2486,23,1.7413270902689002
132037,2463,24,1.8449779934253656
132994,2316,25,2.0291278609761325
131535,2533,21,1.5757335591224462
132818,2559,24,1.7653223848509776
132589,2402,25,1.9624541513406586
131932,2499,19,1.4407121123924815
133118,2512,18,1.345724300158769
132625,2430,19,1.473879366852453
132479,2419,25,1.9502806314968741
132820,2470,27,2.0575165805354665
133036,2474,30,2.2787274798224457
132697,2467,17,1.298251030729605
132841,2400,13,1.0193890942304458
132017,2429,22,1.7151626676022267
132129,2542,26,1.9352615243052265
131962,2545,32,2.382063372473513
