NT,NR,NTR,g2(0)
133824,3935,38,1.8040345961423587
133937,4008,35,1.6299706074758509
133310,4143,32,1.4484794071402756
134241,4099,42,1.9082101521436128
133521,4107,40,1.8235837806278896
133863,4089,47,2.1466448670587126
133578,4097,28,1.2790783245183457
133427,4150,36,1.625364205741852
133649,4153,40,1.8016580035232757
133450,4131,34,1.54186074838837
133994,4071,38,1.7415548257573115
133968,4143,46,2.0719622244747877
133044,4064,33,1.525825805778066
133395,4176,39,1.7502680872165588
133735,3889,29,1.3939749882240358
133480,4021,29,1.3507896846917782
134042,3880,31,1.4901468796439705
133201,4134,39,1.770625270108885
132845,4051,37,1.718835348014312
133731,4191,45,2.007256021764051
133758,4087,32,1.463408532446619
133563,4094,35,1.6001992015748476
133163,3976,32,1.510984608793468
134074,4188,36,1.602844052292381
134342,4255,41,1.7931329515715377
133421,4586,54,2.2063556883394524
133515,4480,51,2.131582326223378
133754,4452,47,1.9732219241823048
133358,4473,52,2.179341959229159
133622,4685,29,1.1581116850002668
133848,4845,43,1.657688011581796
133477,4843,43,1.6629820373296895
134054,4739,49,1.9282778061681485
134555,4710,49,1.9329265035860521
134051,4864,47,1.8020807281125135
133769,4568,52,2.1274618284580002
133715,4866,49,1.8827118470787974
134038,4539,48,1.9723915090241793
133801,4604,47,1.9074062105964373
133738,4533,48,1.9794325281671514
133937,4518,50,2.065680830570799
133121,4492,35,1.4632607859895779
133793,4563,51,2.088460780964528
133705,4434,38,1.6024344318831016
133655,4466,30,1.25648507547865
133604,4496,40,1.6647699831264242
133428,4535,58,2.3963140525243616
134353,4512,46,1.8970613720930884
133938,4371,39,1.6654055191210948
133319,4209,46,2.0494006384374845
