NG,NGT,NGR,NGTR,g2(0)
19296,556,661,23,1.2075882410561718
18953,499,654,16,0.9292223590912713
18972,516,655,20,1.1226699804722173
19002,535,617,16,0.921043941895515
18961,537,669,8,0.4222316863046377
18860,546,615,6,0.336996336996337
18939,531,673,17,0.9009410599306588
19245,552,682,11,0.5623246844319776
19162,568,710,17,0.8077613568736361
19149,522,650,13,0.7336781609195402
19134,580,631,17,0.8887862724739056
19065,521,683,18,0.9643859792099325
19074,556,597,14,0.804490076280684
23462,2595,3388,1150,3.0688955465623886
18907,544,655,19,1.0081752357431522
18943,540,627,13,0.7273288439955107
19151,506,672,17,0.9574598861283644
19186,508,638,15,0.8879557179177054
18937,515,656,14,0.7847442576367512
18991,545,608,13,0.7450597537421535
18755,545,649,15,0.7953661949930027
18938,527,629,18,1.0283604287399353
19115,501,657,21,1.2195244214766814
19060,531,641,13,0.7279703617523232
19033,527,666,16,0.8676456342490498
18988,498,596,5,0.31987008436430286
18887,556,571,7,0.4164377779737681
19044,534,653,15,0.8192095256121272
19173,560,637,11,0.5912284144427001
18871,526,622,15,0.8651871187020894
19063,539,622,17,0.9666316687446683
18971,512,625,12,0.7114125
18929,509,619,12,0.7209422638072054
18721,497,653,19,1.0960063597511562
18878,533,661,16,0.8573285686307346
18728,535,615,11,0.6261165564926677
18888,563,626,18,0.9646632882946787
19016,529,626,12,0.6890812129704005
19396,559,702,11,0.5436957529980786
18704,540,609,15,0.8531289910600255
18998,552,707,13,0.6328382838283828
18883,535,644,12,0.6576769025367156
18835,545,625,14,0.7741357798165137
18803,540,625,18,1.0028266666666668
19089,576,594,17,0.9484690656565656
18887,564,609,7,0.38491481209749734
18971,548,589,14,0.8228532834322679
18978,537,627,18,1.0145679078345942
18962,523,636,16,0.9121060163305554
19018,544,631,16,0.8864547403747552
18827,464,636,16,1.0207655606159185
18995,523,656,15,0.8304720654759129
19014,556,627,18,0.9817562218168049
18897,521,677,18,0.9643595290275206
18896,538,616,13,0.7412253174334958
18948,488,625,16,0.9939934426229509
19072,534,639,15,0.8383886339259025
18864,519,647,11,0.6179521312237003
19017,515,657,10,0.5620428248437292
18751,493,644,10,0.5905975583636753
18833,534,652,10,0.5409170285609246
18982,503,660,11,0.628959575878065
18859,515,629,17,0.9897139858304906
19187,545,669,11,0.5788647988919515
18869,531,600,13,0.7699215317011927
19183,508,702,17,0.9144598111133544
18998,546,635,14,0.7671310316979608
19093,533,664,7,0.37763907412012027
19057,523,636,13,0.7447989946727275
19197,551,672,13,0.6739937127301011
19062,527,637,12,0.681396131653654
18728,514,629,12,0.6951185564140474
19031,496,628,7,0.4276793969591124
18664,500,628,15,0.891592356687898
18922,535,649,19,1.0354333770142419
18878,511,635,8,0.465426753162704
18710,514,616,7,0.41364520693314466
19010,525,624,12,0.6963369963369963
18915,541,647,14,0.7565416382164805
18871,509,621,17,1.0149261758555344
19005,532,650,9,0.4946356275303644
19125,514,641,10,0.5804706896447064
18677,514,606,9,0.539652116962669
19138,517,605,13,0.7954153811723708
19248,537,648,11,0.6084557555693496
19132,514,660,12,0.6767598160594269
19019,523,650,12,0.671357552581262
18781,547,588,10,0.583920954122051
18836,502,574,10,0.6536918527978678
19154,476,676,18,1.0714658644522899
19101,534,629,16,0.9098801379039317
18709,543,604,11,0.6274895417901528
19130,538,654,14,0.7611723110853427
18800,504,616,11,0.6660997732426304
18948,567,611,12,0.6563271244122308
18741,510,623,12,0.707808516665093
18907,502,680,13,0.7200345676119053
19150,522,638,13,0.7475167849721952
18846,498,614,10,0.6163415878497704
19025,518,630,13,0.7578752221609365
19909,854,1112,228,4.7799310902566
18932,514,634,12,0.6971486086732377
18889,533,643,15,0.8267268520274628
19065,511,682,18,0.9847002312755737
18950,564,630,11,0.5866542834627941
18819,517,620,15,0.8806545204966619
18949,503,684,9,0.4956837919849325
20088,896,1160,243,4.6965286330049265
18848,514,658,9,0.501555237543316
19159,527,640,15,0.8520665322580645
19022,509,647,11,0.6353701381318645
18940,535,639,19,1.0526377371184532
19093,535,620,11,0.6331715405486886
18991,553,596,17,0.9795471922521451
19411,843,1057,228,4.966840281869388
18773,461,630,12,0.7756636711083565
18972,539,644,13,0.7105290450454603
19065,540,631,15,0.8392762810353935
18750,529,628,20,1.1287972740298364
18905,542,615,7,0.3970089700897009
18968,534,639,17,0.9449924683347694
19168,604,804,89,3.5129649764422917
18862,535,645,11,0.6012663913641962
19220,507,639,15,0.8898889722291673
19051,506,657,13,0.7449810794063325
19062,569,587,13,0.7419274677173558
19227,556,603,18,1.0322667239342853
19656,882,1086,215,4.41199684293607
19024,527,606,13,0.7743939479336928
19039,549,606,17,0.9728549357668007
18826,531,672,16,0.8441395390547933
18989,545,607,13,0.7462086060184695
18929,460,581,11,0.7790877796901893
18965,547,683,16,0.8122033934598676
18932,566,629,18,0.9571983124259158
18855,527,631,13,0.7371059461052454
18764,555,612,8,0.4419478301831243
19128,533,684,15,0.7870050360422632
19086,538,587,10,0.6043583719118699
19073,554,627,13,0.7138139901772811
18826,521,616,14,0.8212353864945036
19036,534,626,16,0.9111294587835493
19003,537,667,17,0.901926131906114
18884,562,592,16,0.9081465807444455
18872,520,655,15,0.8311215502055197
18999,487,593,12,0.7894567351475634
18948,557,642,21,1.112736790885753
18986,507,592,6,0.37953782184551416
18721,580,639,21,1.060765743888619
18823,519,675,8,0.42984086205666167
