NT,NR,NTR,g2(0)
132828,2545,28,2.0707163844487306
132200,2491,24,1.821990330089988
131867,2610,17,1.234844570985505
132854,2413,21,1.6376735948827623
132423,2417,31,2.4213726332796996
132146,2497,22,1.6668254595721153
132568,2521,26,1.9449202883097174
132522,2524,27,2.0180245287024796
132904,2491,30,2.265423930411203
132969,2479,22,1.6685366867425913
132568,2514,31,2.325400303709882
133426,2540,25,1.8441907283886518
132135,2502,30,2.268590395024201
132464,2466,25,1.9133264700935257
133265,2484,25,1.8880449177063148
131882,2458,21,1.6195408255640513
132804,2444,22,1.694534174650449
132750,2468,22,1.6787383213227236
132555,2454,23,1.7676536414571895
132197,2430,34,2.6460073880884405
132693,2499,35,2.6387228868320785
131826,2493,23,1.749623050560108
131968,2572,20,1.4730938118935095
132019,2535,39,2.913333570284464
132773,2506,29,2.1789495334189817
132076,2559,24,1.7752399263389045
132208,2536,21,1.5658577956310886
131982,2499,20,1.5159645407161972
132411,2524,22,1.645694711231505
133190,2490,30,2.2614672218417935
132317,2581,22,1.6104937335439933
132079,2644,21,1.5033637721448492
132851,2546,30,2.2173693304105764
132285,2543,33,2.4524320701955618
132308,2633,28,2.0093753780855064
132678,2509,31,2.328102648430948
132838,2579,31,2.2621845506969596
132251,2512,39,2.9348507207897048
132460,2514,22,1.6516296299232527
131921,2523,19,1.4271263483298202
131672,2529,30,2.2522624787413448
132947,2434,27,2.0859536645474637
132008,2540,25,1.8640006069782458
132437,2516,21,1.5755759108092224
132368,2546,29,2.151278318656294
132689,2545,22,1.6286958198973946
132934,2553,35,2.5782270779951877
132472,2573,25,1.8336487130884165
132516,2560,32,2.3582058015635847
132995,2534,40,2.9672769000193555
