NT,NR,NTR,g2(0)
8046,10578,168,1.6449187262106564
8130,10377,174,1.7187220152051186
8131,10594,189,1.828422801098688
8298,10504,172,1.6444438815092366
8254,10505,196,1.8837111308221617
8050,10619,202,1.9692036053193451
8244,10469,206,1.9890366770175363
8249,10602,215,2.048651614859259
8183,10474,202,1.964015914891544
8445,10594,186,1.7324953421024423
8145,10476,217,2.11929741989505
8160,10479,171,1.6664982626317058
8254,10493,180,1.7319171854470645
8163,10563,196,1.8942519762663212
8087,10362,181,1.799974272898105
8397,10481,199,1.8842779074558662
8185,10473,206,2.0026091080256543
8248,10626,183,1.7400085400760132
8171,10461,189,1.8426045766717767
8247,10493,185,1.781536870650481
8221,10539,205,1.971735075736191
8206,10559,196,1.885039794074867
8237,10461,192,1.8568538162935833
8163,10545,201,1.9458906477997753
8360,10578,186,1.7527575965645044
8139,10692,188,1.8003071431238507
8244,10588,199,1.899852631009102
8077,10681,188,1.8159948194845317
8179,10605,221,2.1232451786914495
8168,10852,209,1.964895807046976
8250,10549,200,1.9150649542155844
8485,10384,205,1.9389030280633606
8115,10582,199,1.9311479570259604
8221,10554,186,1.7864462759014827
8428,10552,229,2.1458280933897966
8044,10608,226,2.207098014714945
8270,10531,186,1.779740059204488
8168,10643,221,2.1185135027647193
8313,10574,201,1.9055384868604646
8058,10592,173,1.6891165685237215
8263,10441,184,1.7772835796086213
8329,10605,197,1.8585807948751925
8243,10556,198,1.8962660200575754
8184,10554,171,1.6498032462014929
8298,10693,177,1.6623368145934552
8358,10779,175,1.6187357709888257
8180,10559,173,1.669124621513932
8348,10490,197,1.8746795915642234
8320,10553,225,2.1355119579558126
8357,10589,197,1.85515255853657
8425,10724,179,1.6509923847745664
8341,10722,189,1.7611106120365907
8378,10642,201,1.8786730300929995
8249,10595,181,1.72581827766654
8361,10534,200,1.892331471286735
8536,10649,240,2.2002233138654637
8381,10609,206,1.9307039462430238
8304,10872,209,1.929160032571458
8421,10415,204,1.938322244134765
8138,10627,177,1.7055468523202015
8193,10599,200,1.919291334993451
8483,10605,209,1.9359979816711568
8412,10616,172,1.6050443123619884
8477,10545,221,2.0602610893366684
8463,10658,181,1.672234857665762
8438,10766,193,1.7704438861314482
8494,10635,203,1.872686332935881
8515,10651,196,1.8009422566640787
8266,10679,179,1.6898408227342927
8298,10370,188,1.8206414096443946
8245,10664,204,1.933473058986396
8447,10661,211,1.9525437408571213
8409,10763,202,1.859912146368412
8279,10574,168,1.5992297013143815
8188,10754,223,2.1104533209820895
8195,10826,172,1.6155865174571071
8257,10453,224,2.1627361389729134
8409,10370,191,1.8252779707220825
8389,10350,168,1.612417457183118
8363,10801,198,1.8266606839285509
8239,10691,222,2.1002882174432704
8330,10622,204,1.9213107950768331
8209,10401,191,1.864175385024539
8336,10714,200,1.8661192875998551
8296,10636,193,1.822757907286244
8330,10739,181,1.686120020221516
8146,10614,206,1.985466141109538
8333,10675,211,1.976659862647433
8293,10544,202,1.9250989660975815
8185,10572,186,1.7912485834690637
8189,10610,200,1.9182380201144134
8246,10500,196,1.8864365214110543
8315,10647,186,1.75082278787353
8327,10690,187,1.7506288876833576
8405,10548,181,1.7013336425436731
8378,10580,221,2.077710353413078
8466,10560,188,1.7524047467350086
8354,10628,189,1.7739220883507356
8489,10590,214,1.9837184546588518
8325,10858,190,1.7516134664780825
8489,10456,210,1.9715869756468674
8214,10594,209,2.0014759362375805
8442,10658,190,1.759751285718746
8358,10695,204,1.90180404012538
8265,10544,193,1.8455584656091941
8382,10588,193,1.8122348334235805
8462,10510,176,1.649133009548555
8356,10632,194,1.8197305436061166
8425,10547,207,1.9412892242411315
8338,10339,188,1.8173399644433952
8391,10649,205,1.9118334984243526
8317,10556,182,1.727523877835039
8371,10629,178,1.6671282364068158
8352,10565,192,1.8132596424614638
8377,10600,193,1.8112636952181886
8489,10635,214,1.9753247235389972
8287,10458,181,1.7404091283778003
8180,10412,159,1.5557091826527036
8167,10671,186,1.7785415791523806
8183,10558,202,1.948390101588751
8470,10527,189,1.766414108702769
8149,10522,171,1.6619281692952692
8208,10656,193,1.8388423755139152
8201,10463,197,1.9132069194195196
8411,10622,195,1.8188606831291503
8161,10644,193,1.8515174914565034
8462,10496,164,1.5387418262034191
8142,10610,182,1.7556731200580213
8213,10614,190,1.816316167738381
8212,10683,195,1.8522994433891466
8320,10656,207,1.9456806566181566
8330,10583,207,1.956749817001354
8275,10529,193,1.8459542564883618
8362,10698,200,1.8630992578649654
8234,10449,178,1.7240631303412104
8413,10515,179,1.6862098386971667
8455,10477,218,2.0508065304679013
8391,10468,191,1.812068813956447
8343,10566,210,1.9852042612965324
8589,10636,210,1.9156542051061836
8418,10597,196,1.830977340056114
8365,10480,210,1.9962311156536456
8257,10616,188,1.7872833466535378
8431,10640,186,1.7278696682401056
8472,10590,183,1.6997612977839123
8435,10593,194,1.8093243361789526
8268,10567,197,1.879026066109028
8354,10704,157,1.463112885127097
8235,10403,188,1.8287502614480593
8443,10495,191,1.7962752624250002
8394,10467,207,1.9633508300330258
8291,10688,187,1.7585592293882863
8163,10523,185,1.7947382364968831
8306,10687,190,1.7837115263656633
8236,10573,180,1.7225692446423617
8125,10544,200,1.9454495934010347
8155,10676,188,1.7994677710344955
8246,10648,208,1.9741071250142515
8255,10487,160,1.540176139548891
8321,10420,191,1.835730316569098
8189,10494,180,1.7454978896581412
8277,10682,191,1.8002241869133826
8457,10609,215,1.9969465183059119
8544,10713,198,1.8026507750218412
8416,10457,173,1.6381437992246113
8243,10475,211,2.036394323536346
8337,10422,217,2.0812182114059024
8373,10394,181,1.733139518926278
8365,10696,220,2.049057262283651
8499,10679,197,1.8087834029913266
8345,10521,195,1.8508448024490833
8159,10527,169,1.6396981342513341
8020,10648,186,1.815052901180557
8283,10616,199,1.8859199694261854
8242,10432,205,1.9868836062881077
8338,10692,199,1.8601629477316868
8456,10668,192,1.7736666549604667
8176,10607,191,1.8353490424144203
8176,10856,198,1.8589736194292983
8375,10537,213,2.0113912736781123
8338,10433,215,2.0596153300705806
8246,10419,199,1.9302006692484872
8110,10581,193,1.874254207059758
8175,10691,198,1.887895074224311
8080,10613,176,1.7103378103757796
8160,10734,175,1.664964787231581
8171,10533,212,2.052708686798634
8288,10720,196,1.8383588812693288
8323,10514,215,2.0474313391138774
8197,10607,186,1.7827243407051205
8174,10657,209,1.9993804484408684
8430,10315,191,1.8304392268301373
8356,10370,205,1.971493853016805
8256,10571,190,1.8142059952915892
8481,10763,206,1.8806395747718359
