NT,NR,NTR,g2(0)
134242,4040,45,2.074353380720292
133723,4065,34,1.5636957817347068
133692,4003,28,1.3079978485154475
133132,4129,56,2.5468343369473616
133229,4065,32,1.477170646178236
133986,4074,29,1.328181907442304
134160,3949,34,1.6043855520437758
133089,4218,36,1.6032224000694644
133891,4079,42,1.9225790631297492
133480,4195,37,1.651937338534287
133602,4087,37,1.6940418518881666
133429,4134,42,1.9035688772841046
134169,4067,51,2.336597079305331
133420,4113,40,1.8223020098934233
133903,4039,26,1.201847034763335
133801,4093,49,2.2368403318884544
132894,4143,32,1.453013603066129
133324,4068,30,1.3828401616431736
133318,4150,32,1.4459494167130424
133422,4087,37,1.69632728857282
133974,4014,38,1.7665491007785319
133828,4025,41,1.902878210039511
133035,4172,41,1.8467735748574445
133400,4137,41,1.8573019509099693
133824,4142,49,2.2099985428803075
133490,4220,29,1.2869948900089787
133617,4170,34,1.525531410341764
134101,4045,40,1.8435268091060897
133561,4136,39,1.7649988370196381
133334,4072,34,1.5655619167876655
133529,4116,40,1.8194873367356728
133831,4163,30,1.346164487411534
134171,4161,40,1.7911981315525083
133238,3999,40,1.8768107869294588
133404,4073,34,1.5643562582344492
132888,4037,32,1.4912328852879393
133369,4097,41,1.8758711602859564
133933,4108,36,1.6357784321683142
133305,4001,34,1.5936903212777502
133571,4033,33,1.5314878268910415
133716,4167,31,1.3908965358693408
133185,4097,30,1.3744849358237865
133757,3914,39,1.862375607587626
133251,4043,37,1.7169890064794953
134026,4017,39,1.81098030682063
133335,4130,45,2.042952671324054
133041,4075,33,1.5217413258323476
134046,3971,44,2.066516794602655
133542,4023,38,1.7682989804773577
133185,4038,35,1.626995768304869
