NT,NR,NTR,g2(0)
132169,2808,28,1.8861287388703047
132401,2741,25,1.7221846600735797
133018,2710,37,2.566031764754641
131897,2651,32,2.287943743078309
132158,2816,33,2.216806776736936
132114,2806,30,2.0231344943881
132675,2786,34,2.299581029863306
133010,2849,41,2.7048745190238312
132777,2742,30,2.0600177435096296
132030,2834,41,2.73937442095638
132981,2796,43,2.8912237497458277
132482,2755,29,1.9863671648740366
132591,2716,32,2.2214992723090368
132418,2789,35,2.3692588667455214
132739,2748,35,2.398793056731604
132417,2782,25,1.696598767915316
132973,2680,37,2.5956341041515443
132890,2780,27,1.8271183339279362
132320,2673,29,2.0498097550361423
132470,2718,36,2.4996288051224393
132345,2797,24,1.620881426404831
132627,2829,21,1.3992470819361753
132886,2891,36,2.342691969537737
132686,2787,31,2.095750757981669
133001,2740,33,2.2638543357640084
132884,2764,25,1.701646270071966
132802,2766,29,1.9737003368401387
132075,2698,34,2.385373339692458
132247,2768,25,1.7073717943534545
132692,2795,34,2.291882631665826
132636,2891,31,2.021120442619848
132400,2806,33,2.2206407073319365
132229,2739,46,3.1752585532277884
132356,2773,32,2.179698793308939
132651,2759,35,2.3908141869624178
132135,2766,46,3.1465004307559092
132037,2726,21,1.4586053551287017
132536,2874,42,2.756567782647119
132476,2829,36,2.4014434019654116
131793,2777,39,2.6640133203289045
133056,2775,39,2.6406276406276405
132675,2753,28,1.9164731199929144
132819,2757,25,1.706801615086562
132480,2769,36,2.4534049335029127
133186,2835,37,2.44979697274483
132365,2854,37,2.4485817033874953
132091,2782,39,2.6532261071505716
132733,2861,27,1.7774893393891877
133711,4404,46,1.9529152340844693
134761,4984,58,2.1588662827763696
