NT,NR,NTR,g2(0)
134324,5052,49,1.8051742536328004
135174,6240,42,1.2448342933495404
134341,4442,34,1.424399441607266
133145,4525,41,1.7012981112063883
134120,4441,47,1.972711374428812
133756,4419,50,2.114816736985846
133412,4367,45,1.930965150071419
133988,4209,34,1.5072111399883308
133927,4156,39,1.7517048651753908
133360,4133,36,1.6328696515717422
133670,3990,35,1.6405943413932451
133339,3977,35,1.6500430237875314
133501,4029,42,1.9521245035112949
133800,3842,36,1.7507697551023267
133371,4018,36,1.6794658196963788
133418,4050,34,1.573075171340273
132889,3945,39,1.8598099840723012
133637,3955,32,1.5136197348465543
133948,3858,37,1.7899597939037586
133605,3883,18,0.8674059799141737
133202,3879,32,1.5483155006676161
133437,3923,32,1.5282535366351437
133500,3896,45,2.162979027755347
133174,3959,41,1.9441014280314532
134485,3931,36,1.7024157099224362
133653,3828,40,1.9545615874967976
133064,4011,29,1.3583909204896059
133681,3969,33,1.5549025078106569
133271,3941,31,1.4755693008633273
133636,3996,35,1.638547763843343
133063,3973,49,2.317182356041372
132956,4247,41,1.8152383725339936
133169,4285,49,2.1467532245744922
133713,4340,43,1.852444059549649
133013,4263,36,1.587205238065099
133666,4253,29,1.2753273458338656
133723,4277,45,1.9670126866950535
133675,4220,44,1.949979480897735
133493,4145,33,1.490976919433309
133147,4268,44,1.9356948242385228
132806,4114,38,1.7387679307148347
133327,4028,28,1.3034382787601477
133842,4056,43,1.9802412376664682
133199,4062,44,2.0330675178876394
133340,4146,34,1.5375497505877238
133889,3928,39,1.8539082568913403
132907,4092,40,1.8387238944325064
132747,4167,44,1.9885864214593538
132713,3828,27,1.3286738179474047
133482,3917,51,2.4385625957616357
