NT,NR,NTR,g2(0)
133772,3896,31,1.4870224804336238
134142,3906,22,1.0497011508457732
133506,3872,37,1.789392447524258
133770,3969,39,1.836389452660451
133469,3928,39,1.8597421319326934
133655,3958,27,1.2759767843301884
133282,3862,31,1.5056288644198965
132767,3971,48,2.276099361349849
133292,4047,33,1.5293844130968963
133570,3959,38,1.7965080912927922
133373,3969,39,1.841855676054288
133464,3981,38,1.7879990796660568
133918,3932,36,1.709188828553426
134056,3956,36,1.6970708346203416
133014,4030,34,1.585683568225304
134478,3952,45,2.1168220222105774
133951,3878,40,1.9250687102261796
133554,3832,34,1.6608733839858292
133411,3880,35,1.6903813322554044
133073,3848,38,1.855233570156958
133770,3905,36,1.722910604773209
133777,3840,41,1.995313718601354
133773,3960,30,1.4157859911487325
133339,3933,39,1.8591887190332166
133242,4085,31,1.4238639637062036
133836,3907,35,1.6733689011622497
133260,4027,42,1.956626181648479
134093,4096,48,2.1848176265726025
134204,4072,39,1.7841500893077828
132621,3888,42,2.0363421207430323
133445,4157,46,2.0730773651832046
134152,3970,32,1.5021120446403666
133215,3996,34,1.5967624720392803
133161,4084,47,2.1606035497256304
133555,3998,36,1.6855419585799039
133055,4128,38,1.7296280403947892
133469,4131,34,1.5416412565646553
134112,4006,38,1.7682555146044951
132878,4100,29,1.330764071499292
134229,4064,47,2.153960885859475
133948,4052,36,1.6581997268996638
133878,4088,34,1.5530978652790437
133052,4077,47,2.1660862624700297
133854,4062,34,1.5633191677489064
133281,3959,35,1.6582664290581235
133678,4005,38,1.7744392916595246
133640,3956,32,1.5132031514574114
133803,4044,46,2.1253029379086352
133713,4047,42,1.9403606643721736
133934,4026,43,1.993626759140089
