NT,NR,NTR,g2(0)
133346,4392,45,1.920924069590438
133683,4232,54,2.386227939534808
133320,4095,42,1.9232692500019235
134105,4229,64,2.821222423509585
132759,4367,38,1.6386131693688009
133778,4337,54,2.326803173441015
133743,4396,49,2.083566395117244
133639,4191,46,2.053274257454835
133587,4275,47,2.0574891356912772
133347,4519,62,2.572208134459535
133339,4291,50,2.184712556381467
133573,4358,59,2.5338804119146086
134028,4301,56,2.428639510771526
134066,4423,51,2.1501788886438002
133303,4221,50,2.2215430698472534
133479,4373,75,3.212246394881737
133472,4415,66,2.800032473588736
133256,4415,44,1.869714105755517
133835,4332,51,2.1991357241371032
133429,4340,53,2.2881048285643066
133780,4336,48,2.0687155593337963
134274,4306,51,2.205180952790511
133649,4296,52,2.264192596653122
133301,4482,65,2.7198697424419933
133993,4297,62,2.6920568921379697
132777,4242,56,2.485618769066405
133798,4298,64,2.782299961970829
133826,4266,44,1.9267764821362001
133366,4242,55,2.4304512155483717
134754,4252,51,2.225231829364239
133414,4205,45,2.0053266109318963
133210,4238,49,2.169892946161608
133802,4425,56,2.364569892759155
133902,4355,60,2.572266939368119
134228,4348,75,3.212688490404181
134347,4306,48,2.0743366830494208
133259,4266,48,2.110881457762914
133206,4217,45,2.002742593091508
133732,4270,45,1.9701047030969907
133255,4340,71,3.0691994680515355
133951,4338,63,2.710472780487545
133936,4381,47,2.0024758577420427
133494,4362,42,1.8031916657346743
134019,4239,48,2.112279851394987
133818,4321,52,2.248249736715256
133807,4291,53,2.307695642295764
134145,4285,61,2.6530444576748726
133747,4365,54,2.3124133663967337
133066,4323,63,2.7379670701936423
134167,4342,47,2.0169834677083194
