NT,NR,NTR,g2(0)
132704,2733,23,1.5854195138043885
131687,2748,24,1.6580270744546677
132787,2591,28,2.03458139041589
132447,2662,28,1.9853992941746677
132771,2781,30,2.0312203936932494
133354,2646,31,2.196371580545605
133167,2674,27,1.8955958702834816
132763,2612,27,1.946496121847266
132559,2733,25,1.7251670967177006
132854,2743,32,2.1952780984057667
132849,2665,28,1.9771632839026978
132842,2552,20,1.4748706349669691
132415,2728,21,1.4533752244980263
132034,2648,27,1.9306342726791006
132300,2624,29,2.0884031119222755
133338,2761,33,2.240957423063898
132530,2674,20,1.4108940547802755
132203,2642,27,1.932545149995079
133052,2685,38,2.6592422861399565
132603,2485,24,1.820838835870361
131973,2544,16,1.1914005471006626
132214,2521,27,2.0251326826431013
132267,2536,33,2.4595360703217675
132511,2427,19,1.476970774731525
132353,2456,29,2.2303645534246574
132369,2492,22,1.6673561032575808
132268,2453,18,1.386948000705827
133074,2629,25,1.7864720254802018
132629,2501,17,1.2812584516894823
132261,2472,29,2.217469924195439
132613,2636,35,2.5030904728348777
132198,2563,20,1.4756946857820128
132668,2522,24,1.7932464759658227
132024,2519,37,2.7813822487121267
132333,2462,16,1.2277325909774557
132606,2463,31,2.3728709293115995
131969,2418,29,2.2720076232154702
132418,2452,32,2.463896706354047
132646,2504,24,1.8064367822514842
132238,2527,26,1.9451443788801777
132032,2496,16,1.2137694669202184
133331,2428,29,2.2395367207229255
132358,2495,17,1.286969290581041
132364,2496,23,1.74041725653191
132577,2519,30,2.2457680992971336
132137,2574,20,1.4700666297115437
132939,2535,28,2.077149085580367
132695,2552,14,1.0335531513862428
131986,2515,24,1.8075294991073665
132595,2615,21,1.5141205803811648
