CH 1
5
11
6
6
16
14
12
9
10
10
5
5
13
18
7
17
6
8
8
14
17
7
12
3
7
4
10
5
11
12
8
10
18
8
16
11
9
11
10
9
8
8
9
9
14
5
16
14
14
9
13
7
8
5
9
5
11
8
6
13
10
13
7
9
8
14
12
8
12
11
6
10
7
9
11
7
11
5
9
7
10
7
12
9
13
9
13
10
10
10
11
12
11
12
7
7
12
10
9
14
12
13
14
11
9
4
12
6
8
11
16
8
8
10
5
9
9
11
13
11
10
17
10
11
10
6
6
7
10
7
10
9
7
11
13
7
19
14
12
15
15
12
12
8
13
20
8
12
11
11
13
4
13
14
13
8
8
8
8
11
10
7
11
7
13
9
9
8
8
8
8
10
16
11
11
16
7
7
10
4
13
4
10
12
9
10
10
10
15
8
10
9
16
11
5
6
9
11
9
9
