CH 1
14
11
12
11
14
15
14
9
9
19
10
14
14
18
18
8
16
10
12
14
17
17
8
11
16
16
17
13
12
17
14
12
11
15
13
12
11
13
10
12
11
11
9
14
9
22
9
16
15
15
20
18
19
9
11
16
13
14
12
15
10
12
9
7
17
9
11
18
12
12
16
14
18
13
10
19
19
9
16
16
13
13
21
14
14
9
12
18
13
16
12
13
15
13
12
12
12
13
13
10
8
15
15
9
9
12
14
16
16
11
10
11
10
11
11
7
14
6
11
16
9
13
13
16
20
10
14
10
10
12
21
10
9
11
13
13
18
17
12
12
12
7
15
10
15
14
13
6
19
15
14
15
9
10
8
13
11
12
11
12
8
7
22
20
18
13
9
13
14
15
13
12
17
15
13
18
11
14
9
9
16
12
13
19
9
10
15
13
10
19
14
16
5
18
9
16
15
11
14
12
