NT,NR,NTR,g2(0)
8286,10655,305,1.9192385186463838
8302,10691,305,1.9090894412258947
8150,10662,329,2.1034253610699056
8283,10489,281,1.7968510097809658
8218,10453,310,2.004850999564254
8106,10542,275,1.7878479359473713
8290,10635,253,1.5942484054522792
8256,10448,303,1.9514942463921237
8263,10542,303,1.9324548630777665
8448,10685,295,1.8156037839004615
8069,10345,267,1.7770045744690004
8303,10446,278,1.7806855373368877
8112,10620,278,1.7927504165371757
8084,10682,284,1.8271195160255826
8219,10731,273,1.7196139778795736
8215,10473,271,1.749919676426808
8188,10602,283,1.811124462490258
8348,10364,279,1.7915207944939329
8104,10492,266,1.7380065837048433
8188,10642,289,1.8425710742527528
8141,10419,281,1.8404754213408567
8288,10391,260,1.6772343786105695
8257,10507,304,1.9467046293536434
7998,10533,306,2.0179734005940486
8203,10462,277,1.7931632792569405
8078,10467,307,2.0171574444895946
8227,10506,283,1.8190097907694207
8236,10624,280,1.777792731554354
8218,10615,293,1.865988572787877
8166,10759,291,1.8400905746455656
8222,10570,306,1.956124360721299
8137,10592,296,1.907993618679245
8290,10513,298,1.899601763151711
8269,10553,307,1.9545056954315063
8152,10711,252,1.603370339426171
8259,10482,277,1.7776065525539775
8242,10497,278,1.785149051199829
8320,10551,266,1.6834188358214515
8164,10660,285,1.819332820396383
8273,10438,283,1.8206799665549709
8247,10436,270,1.7428547486726766
8136,10671,264,1.6893333740001948
8337,10481,311,1.977312725777562
8164,10396,280,1.83280499325622
8339,10471,273,1.7369527657302286
8246,10507,314,2.013423254303495
8350,10481,282,1.7901416897147406
8232,10697,287,1.8106813737097258
8163,10604,252,1.6173667854691887
8147,10582,298,1.9203406953499012
8170,10264,284,1.8815126174236123
8323,10636,295,1.8513617535110467
8202,10646,275,1.7496612032394898
8396,10656,295,1.8318203068877992
8432,10663,262,1.6188953630862475
8360,10536,306,1.9300425426789172
8423,10684,310,1.9137645637051157
8367,10577,279,1.751456779826481
8315,10560,281,1.7779012818098805
8327,10764,316,1.9586296461069113
8329,10733,306,1.9016690132330096
8240,10650,270,1.7092848352249417
8271,10644,281,1.7732539180114733
8286,10370,274,1.771553908036283
8299,10528,297,1.8884796241975905
8242,10653,314,1.986792929407397
8196,10571,296,1.8980217437473557
8383,10569,265,1.661651732762965
8350,10468,305,1.9385506149845257
8349,10518,275,1.7397728981184257
8100,10585,274,1.7754243685418125
8229,10380,302,1.9642195171147128
8143,10608,291,1.8715547571078484
8326,10548,280,1.7712464734103162
8329,10518,278,1.7629754402631004
8312,10590,296,1.868175667890473
8374,10639,319,1.9892273077123896
8205,10416,330,2.145170807080343
8284,10499,288,1.8396362413674492
8228,10599,288,1.834682031027867
8352,10616,323,2.0238514007948996
8236,10782,277,1.7329722104530259
8353,10579,302,1.89866060471362
8308,10714,336,2.09709759595622
8453,10632,291,1.7988487427389932
