NT,NR,NTR,g2(0)
133850,4003,50,2.3329533107920275
134177,4166,36,1.6100715139739663
133674,4430,43,1.8153392348914212
134303,4409,47,1.984321572959653
133804,4306,26,1.1281587977717802
134139,4345,36,1.5441790792713852
133615,4451,40,1.6814625138992845
133984,4326,38,1.6390196147929863
133672,4262,49,2.1502165354059812
134077,4466,56,2.3380566676197363
133701,4348,44,1.8922063440421821
133646,4485,30,1.2512464291303782
133924,4355,34,1.4573784860964891
133160,4337,41,1.7748459208638283
134170,4424,45,1.8953175514424563
134177,4372,28,1.1932729869500052
133768,4435,49,2.064858190259169
133693,4312,47,2.038217122669669
133283,4348,41,1.7687219703727024
133300,4161,48,2.163482471194583
133558,4265,40,1.7555413266980424
133673,4180,45,2.013411504049892
134042,4041,39,1.8000097854070425
133567,4068,34,1.5643675903407006
134255,4118,35,1.5826731762346014
133201,4111,36,1.6435675093007795
133467,3979,49,2.306684783990353
133519,3909,43,2.0596798620239047
133384,4180,40,1.7935768140164154
133377,4140,46,2.0826512650440314
133850,4096,44,2.006385412775495
132925,4067,37,1.7110428718439525
133808,4090,38,1.735874078013324
133792,4108,37,1.6829885136707137
132657,4122,42,1.9202206686868926
133557,4217,36,1.5979833620422585
134174,4135,36,1.622178452643267
133865,4071,44,2.018480417661766
133338,4132,35,1.5881583544382336
132802,4126,35,1.5968871045639412
133220,4169,43,1.9355622343755925
133663,4203,46,2.047044321743896
133642,4056,32,1.4758732941524395
133622,4197,52,2.3180692999085144
133045,4185,32,1.4367988337503865
133379,4156,40,1.8040019560865372
133644,4185,32,1.4303590197563691
133387,4109,17,0.7754240806612696
133396,4115,41,1.8672876239054643
133423,4078,28,1.2865305904241389
