NT,NR,NTR,g2(0)
134262,3988,36,1.6808704703734478
133264,4050,27,1.2506503381758516
133254,4117,41,1.8683693917142299
133593,4043,34,1.573734558329054
133663,4029,35,1.6247987684404146
133255,4068,35,1.6141489024506912
133471,4104,41,1.8712404588461242
133401,3989,38,1.7852559279662688
134069,4123,28,1.26635752431207
133160,4117,45,2.052096922015137
133707,3980,32,1.5033246211913223
133363,3968,38,1.7952154839096688
133433,3994,45,2.1109658687367046
133137,4125,41,1.8663846149819245
133943,4105,51,2.3188732007669595
133697,4148,43,1.9384207683475818
133262,4129,38,1.7265231086085646
133455,3989,35,1.6436493301767376
133650,4043,42,1.943195941052318
133035,4124,35,1.5948633661415865
133397,4067,42,1.9353925454124055
133419,4065,41,1.8899296316507788
133395,4166,27,1.2146326635021076
133828,4198,43,1.9134584773387349
133354,4162,27,1.2161738188629778
133094,4166,39,1.7584372397805956
133418,4037,37,1.7173885269007263
133357,4086,30,1.3764076700174266
133589,4144,32,1.4451054581604252
134208,4165,47,2.102056845628094
133724,4127,38,1.721391989027275
132938,4192,35,1.5701373274047625
133461,4048,36,1.6658950240915074
133891,4092,40,1.8252106313145855
133550,4062,35,1.6129623925375327
132882,4025,37,1.7294566953859312
132996,4161,41,1.8521986798192793
133024,3935,41,1.958164288035154
133671,4052,42,1.9385752570755728
132772,4197,44,1.9740003197593392
134180,4108,32,1.4513486875381252
133099,4110,27,1.233920439990802
133204,4161,38,1.713991338721848
133336,4067,48,2.212889108335365
133727,4134,49,2.2158814127413633
134057,4124,41,1.8540255402020855
133534,4034,39,1.8099928670315975
133989,4124,31,1.402535620803419
134153,4148,18,0.8086738079488552
134179,4056,34,1.5618395945020482
