CH 1
10
11
7
8
8
10
9
9
5
8
7
14
7
12
6
10
14
5
8
10
8
7
11
8
9
6
4
6
8
9
7
15
10
9
8
10
8
9
7
7
10
9
12
14
7
16
12
7
10
10
11
11
17
7
7
3
8
13
9
11
10
10
11
7
7
7
11
11
13
10
9
12
10
10
8
9
7
11
6
5
7
7
3
10
14
8
13
8
8
10
9
8
12
10
11
10
10
16
10
5
9
10
5
15
6
12
10
15
9
6
7
4
7
8
10
9
7
6
8
6
9
9
8
10
8
8
7
14
7
11
5
11
11
12
6
20
7
7
14
12
10
12
12
10
13
11
6
4
15
12
12
4
6
8
11
11
11
8
9
7
11
12
10
8
7
8
6
7
13
9
7
8
10
13
9
7
4
7
10
11
6
15
13
8
11
6
7
10
17
16
15
10
11
19
10
7
7
8
8
5
