CH 1
8
6
6
14
6
9
6
9
8
8
8
8
6
7
8
12
12
5
8
9
11
7
10
9
7
13
7
7
7
7
8
10
10
10
11
11
10
11
10
7
8
10
5
10
7
6
10
6
6
12
13
7
10
10
11
9
9
7
7
12
4
7
10
5
6
4
7
9
12
14
10
6
7
6
8
8
8
5
4
10
8
10
10
9
7
12
8
7
17
7
11
12
8
5
9
5
11
11
13
13
7
7
7
9
9
12
6
5
6
4
9
6
7
8
8
10
10
9
8
17
9
12
9
6
5
13
8
7
15
7
14
4
9
8
9
15
6
13
8
7
6
12
14
7
13
14
9
11
6
5
14
15
10
12
5
11
11
10
10
12
10
9
5
10
10
3
5
8
4
13
7
11
12
12
10
13
8
4
9
8
10
15
12
7
6
8
12
10
8
8
6
5
13
8
10
8
6
6
6
11
