NT,NR,NTR,g2(0)
132526,2683,23,1.617134275057463
132168,2679,27,1.9063592280292354
132711,2725,26,1.7973800972921847
133078,2752,28,1.9113637499532534
133107,2776,32,2.1650584720589134
132850,2598,25,1.8108368007236395
132842,2704,32,2.227141929251897
132164,2742,27,1.8626152230333546
132169,2764,26,1.7792858043136655
132523,2687,29,2.0360061309452258
132632,2702,25,1.7439994921027016
132504,2785,43,2.913092505401551
133036,2756,28,1.9091921865295167
132547,2717,24,1.6660641114409847
132933,2615,32,2.301364915079131
132570,2674,32,2.256749359040868
132530,2728,27,1.8670038300408054
133532,2780,34,2.289753734561403
132539,2725,30,2.0765914772117275
131966,2672,28,1.9851783633980846
132461,2780,24,1.6293651575142603
132462,2727,23,1.591810623236935
132676,2590,27,1.9643172888673204
132662,2797,25,1.684383624498941
132923,2725,25,1.7254936930789826
132481,2685,27,1.8976053022296988
132845,2800,20,1.3442088793061733
133083,2716,27,1.8674605017164203
132549,2758,32,2.18836252770337
132317,2685,34,2.392538803003548
131843,2740,31,2.145329788676434
132619,2814,30,2.0097008743533245
132821,2605,22,1.5896013252419543
132548,2672,31,2.188225474391471
133112,2622,27,1.9339884528683748
132450,2690,25,1.7541865416001832
132265,2663,36,2.5552088720713244
132731,2742,27,1.8546585073342348
132446,2706,18,1.255584294856996
132379,2764,21,1.4348356830002056
133452,2631,25,1.780057709869687
132884,2709,24,1.6667465038241998
132832,2649,26,1.8472628089544207
132693,2761,28,1.910660918274064
132706,2815,28,1.8738252286956845
132501,2651,30,2.135169611084065
132349,2716,25,1.7387197509917407
132435,2701,31,2.1665780676016246
132714,2711,36,2.501475495320915
132859,2690,28,1.958640726839262
