NT,NR,NTR,g2(0)
134212,4312,53,2.2895270446053644
133293,4455,55,2.3155152581804144
133509,4309,51,2.2162724490734096
133616,4375,47,2.0100244624253727
133874,4356,51,2.1863821542488187
133482,4470,55,2.304477487467246
134279,4469,38,1.5830883477730349
134270,4364,31,1.3226287893997464
133561,4378,44,1.8812099445724064
134273,4483,54,2.2427266170461353
134058,4402,52,2.2029293958620677
133477,4504,42,1.74656390332667
134135,4395,38,1.611471437538116
134126,4498,45,1.8647477783262365
133591,4566,52,2.1312296247685314
134527,4582,35,1.4195265207738847
133979,4272,54,2.3586624467644643
134135,4202,54,2.395165937717134
133614,4215,46,2.0419650088520958
133753,4358,36,1.5440158411633438
133146,4128,45,2.0468438388493975
132955,4356,38,1.6403293657046636
133215,4269,38,1.6704916970100494
133422,4233,45,1.99194254460047
134426,4295,48,2.07842712671635
133614,4314,45,1.9517330483865538
133714,4231,53,2.342048973696994
132922,4221,35,1.559537541474653
134081,4300,36,1.5610140555440022
133059,4290,47,2.058431026031865
133322,4566,50,2.053393986583472
134034,4429,44,1.8529855233686694
133878,4515,42,1.737090033723866
133812,4419,54,2.283046226572065
134403,4485,54,2.2395582277300754
133571,4544,59,2.4301972227462296
133999,4548,48,1.9690612821294438
134620,4484,30,1.2424704633294947
133957,4505,42,1.7399192413998503
134133,4444,41,1.7195474999178475
133507,4375,47,2.0116655199459847
133176,4332,47,2.0366830644093548
134124,4208,49,2.1704703654855226
133579,4388,45,1.9193214442226114
133495,4413,48,2.036959146925583
133654,4364,48,2.0573801400848195
133071,4411,40,1.7036466425202355
133850,4472,38,1.5870968690421217
134328,4266,46,2.0068293344588892
134350,4469,55,2.290101191660401
