NG,NGT,NGR,NGTR,g2(0)
19192,323,390,5,0.7617686750813686
19017,289,405,2,0.3249519415609381
18806,293,378,11,1.8677970998790112
18688,297,345,0,0.0
18972,300,361,5,0.8759002770083103
18943,271,374,4,0.7475975294512304
19150,288,339,7,1.3730129465748935
19008,313,351,5,0.8650774145981813
18941,292,395,6,0.9853129876885729
18819,282,362,3,0.5530445515457858
19013,308,364,3,0.5087680176965891
18966,303,358,2,0.3496874827147519
18888,307,395,8,1.246064404403579
18995,296,370,6,1.0406318480642804
18960,330,360,5,0.797979797979798
19039,280,320,3,0.6374665178571428
18996,333,355,4,0.642761070930085
18977,309,352,6,1.046833627537511
18786,307,358,2,0.34185576765599696
19230,330,372,4,0.6265884652981427
19091,285,352,4,0.7612041467304625
18943,312,387,4,0.6275425694030345
18840,288,352,6,1.1150568181818181
18679,295,364,3,0.5218569566027194
18918,298,350,8,1.45104506232023
19027,293,361,7,1.2591965813581916
18753,275,354,2,0.38526964560862864
18986,305,361,8,1.3794832205621905
18865,289,371,2,0.3518965854932428
18934,285,371,0,0.0
19143,338,353,4,0.6417687781819401
19116,294,424,3,0.46005005775895264
18956,316,390,5,0.7690684842583577
18735,305,342,3,0.5388265746333045
18809,304,346,5,0.894099863097049
18789,304,359,6,1.0329680398768508
18815,311,356,4,0.6797572166624517
18868,310,375,7,1.136137634408602
18970,304,333,8,1.4991307096570254
19031,303,378,8,1.3292821345626626
19345,286,339,3,0.5985828330961074
18888,283,354,3,0.5656105887285141
19152,288,391,1,0.170076726342711
19020,295,327,3,0.591509874047582
18931,285,333,4,0.7978926294715768
18876,320,354,6,0.9997881355932203
18942,287,391,3,0.5063938618925832
18847,277,351,8,1.5507626482355725
18809,323,343,5,0.8488658621343275
19271,323,371,5,0.8040773409661779
18851,272,359,3,0.5791516467311159
18900,306,373,6,0.993534142879672
18810,311,370,6,0.9807942991222734
18900,300,320,3,0.590625
18917,298,389,5,0.8159365780438571
19050,301,363,8,1.3947997034677795
18798,306,371,2,0.3311664288356852
19126,311,359,4,0.6852188555204256
19016,285,344,5,0.9698082415340677
19005,270,362,6,1.1666666666666667
18939,286,351,7,1.3206323590938975
19293,331,417,14,1.956878002130018
18805,305,359,5,0.8587150098177999
18873,294,354,4,0.7253545485991006
18912,293,355,9,1.6363793683603327
18827,283,325,6,1.2281815710790975
18847,291,364,3,0.5337883765718817
18954,298,332,4,0.7663135764534649
18936,350,430,16,2.0131295681063124
18554,291,342,5,0.9321557042663934
18996,297,351,5,0.9111053555498
18738,298,359,5,0.8757547998728759
18801,298,352,3,0.5377040115924344
19011,266,352,4,0.8121582365003418
19093,304,321,5,0.9782853746515823
19136,306,379,4,0.6600100022418818
18797,289,362,3,0.539018142193504
18964,285,384,5,0.8664108187134503
19210,319,355,5,0.8481610667137622
18607,290,354,7,1.2687414767192675
18952,332,345,4,0.661847389558233
18871,304,367,6,1.0148608920120465
18940,307,366,2,0.3371246506826151
19104,329,334,6,1.0431174125912308
19584,412,586,60,4.866960469200437
18822,281,389,7,1.2053353337785544
18737,319,323,3,0.5455418927181498
19360,328,376,4,0.6279190451478983
18893,273,359,3,0.5783158345832441
18997,324,384,5,0.7634468235596708
19373,454,558,47,3.594220232738067
18679,290,366,9,1.5838609383832674
18939,301,344,5,0.9145387468129491
19156,274,361,2,0.38732636431647693
19126,287,385,5,0.8654690257477714
19006,317,368,3,0.4887704018653134
19142,329,389,5,0.7478453832990835
18827,311,338,3,0.5373104511120835
19088,288,372,5,0.8908303464755077
19142,287,349,8,1.5288679452492437
18890,275,390,4,0.7045221445221446
18894,317,362,4,0.65859142164979
18811,287,405,4,0.6473437432787026
19172,336,355,10,1.607310529845741
18929,321,342,1,0.17242353026907872
19015,322,353,8,1.3383069695423433
18700,296,354,8,1.427698885326004
19195,299,354,5,0.9067418702643463
18741,309,356,6,1.022199192756627
18975,304,367,3,0.5102269467947799
18874,314,339,5,0.8865528061176559
19204,327,385,5,0.7626990746256801
18910,310,373,4,0.6541554959785523
18866,305,336,7,1.2886612021857924
18626,312,361,6,0.9922224589814618
18880,306,362,3,0.5113205503195754
19089,302,355,4,0.7122096819326555
19408,455,575,59,4.376768275203058
18927,278,357,3,0.5721238135541986
18990,315,353,5,0.8539053014973695
18870,312,365,7,1.159905163329821
18855,275,374,5,0.916626154594069
18893,289,366,5,0.8930833664227504
18975,285,366,1,0.1819096922634455
18991,303,412,4,0.6085103655996668
18986,305,387,4,0.6434023806498073
18943,283,366,9,1.6459769449110815
18897,305,335,1,0.1849473941766577
18606,274,339,5,1.001550287449131
18941,323,334,8,1.4045716616302997
19037,324,357,4,0.6583324687899851
18841,309,380,3,0.48137455288707204
18624,291,353,2,0.3626062322946176
19058,305,347,7,1.2605092833183729
19075,297,327,4,0.7856341189674523
18831,337,356,4,0.6278464975160871
18605,326,379,6,0.9034915907214659
18825,281,345,3,0.5825468048893703
18903,315,375,3,0.4800761904761905
18762,322,367,5,0.7938294379474334
18751,298,361,2,0.34860287419360836
19393,382,466,36,3.9219153764914725
18926,310,388,4,0.6293980711672763
19035,304,341,2,0.36724417348356225
18889,308,330,5,0.929210940574577
18819,291,357,4,0.7245949926362297
19007,297,379,2,0.3377131028846068
19153,295,364,2,0.3567330974110635
18960,345,372,4,0.5909303412809724
18725,303,364,7,1.1884361513074384
