NT,NR,NTR,g2(0)
133314,3924,43,2.0549615779914996
133325,3917,27,1.292523979072409
133363,3808,29,1.4275972755725717
133758,3901,31,1.4852719722137697
133522,3904,29,1.390834223671865
134251,3832,42,2.0410153423861943
133203,3949,32,1.520858632222595
133126,3959,34,1.6127629613328849
133334,3836,39,1.9062730546618383
133576,3784,34,1.6816645291193706
134174,3934,33,1.5629721004592227
133727,3823,37,1.8093322859496679
132996,3865,35,1.7022368014102847
133239,3877,32,1.5486840354562459
133360,3924,23,1.098786358936164
133535,3931,35,1.6669013505015664
133504,3925,38,1.8129660276883806
133672,3872,26,1.255849398725584
133242,3965,35,1.6562417134677987
132987,3878,42,2.035974363988076
133961,4000,30,1.3996610953934354
133396,4057,37,1.7092040687142758
133451,4167,39,1.7533123131147776
133661,3892,38,1.826190451456809
133568,3989,38,1.7830238234204916
132857,3906,36,1.7343064087235058
133223,3942,41,1.9517672944376692
133498,4075,43,1.9760871397443789
133562,3890,23,1.1067138110069252
133194,4097,40,1.8325227480486208
133701,4031,48,2.2265568707684738
132886,4006,46,2.160268169003061
133289,4018,50,2.3340264371103987
133850,3879,37,1.7815728167812217
133820,3910,33,1.5767257693561723
133174,4119,46,2.096460113243921
133701,3927,24,1.1427617451066614
133790,4005,42,1.959580571374503
133740,4018,38,1.7678782550453571
133449,3979,46,2.165751268577977
133824,3878,37,1.7823784440253165
132835,3993,33,1.5554000846759808
133436,3942,26,1.2357303749780857
133436,4054,33,1.525096026331062
133358,3879,28,1.353191268277395
133111,3847,29,1.415799889726569
133708,3789,36,1.776480773113063
134067,3814,39,1.9067863559004645
133899,3830,37,1.80370548184315
133716,3811,31,1.5208254696844772
