NG,NGT,NGR,NGTR,g2(0)
18947,54,84,0,0.0
18830,57,74,0,0.0
18809,68,97,1,2.8515767131594907
18718,46,63,0,0.0
18982,55,64,0,0.0
19046,68,84,0,0.0
18965,69,76,0,0.0
19053,69,69,1,4.001890359168242
19112,68,63,0,0.0
18964,51,69,0,0.0
18892,68,76,0,0.0
18929,63,65,0,0.0
18935,60,63,0,0.0
18906,69,78,0,0.0
19034,71,74,0,0.0
19255,69,93,0,0.0
18931,70,73,0,0.0
18719,53,59,0,0.0
18928,82,60,0,0.0
19057,62,66,0,0.0
18835,50,69,0,0.0
18771,64,82,0,0.0
18707,67,80,0,0.0
18703,56,75,0,0.0
18943,64,82,0,0.0
18894,60,79,0,0.0
19093,51,81,0,0.0
19076,68,87,2,6.4489519945909395
18972,50,80,0,0.0
19213,79,80,2,6.080063291139241
19048,55,74,1,4.68009828009828
19150,58,76,1,4.34437386569873
18898,64,81,0,0.0
19064,65,63,0,0.0
18966,60,77,0,0.0
18918,56,75,0,0.0
19027,64,68,0,0.0
18923,58,60,0,0.0
18870,60,75,0,0.0
18897,51,88,0,0.0
18761,69,75,1,3.6253140096618357
19156,76,85,0,0.0
18779,60,91,0,0.0
18969,69,73,0,0.0
18946,63,67,0,0.0
18821,72,78,0,0.0
18837,87,85,0,0.0
18857,74,61,0,0.0
18767,73,79,0,0.0
18452,67,65,0,0.0
18717,63,59,0,0.0
19013,50,69,0,0.0
19098,70,85,0,0.0
18832,68,84,0,0.0
18832,77,74,0,0.0
18781,67,78,1,3.593761959433601
18867,71,60,1,4.42887323943662
19164,62,76,1,4.067062818336163
18948,65,56,0,0.0
19081,65,72,0,0.0
18950,64,87,0,0.0
18892,61,79,1,3.9203154181365427
18863,66,64,0,0.0
18736,65,56,0,0.0
18662,63,68,0,0.0
18760,77,65,0,0.0
19215,107,140,4,5.130841121495327
18819,58,78,0,0.0
18992,49,84,0,0.0
19191,60,77,0,0.0
18774,78,70,1,3.4384615384615387
18904,59,76,0,0.0
18993,62,93,0,0.0
19128,77,65,1,3.8217782217782217
19004,57,73,0,0.0
19121,67,72,0,0.0
19059,74,88,0,0.0
18642,67,50,0,0.0
19053,61,73,0,0.0
18817,67,82,1,3.425009100837277
18983,71,72,1,3.713419405320814
18914,59,57,0,0.0
18879,71,67,0,0.0
18622,59,82,0,0.0
18947,65,83,1,3.511955514365153
18695,58,63,0,0.0
18828,61,74,0,0.0
19062,65,74,0,0.0
19229,58,68,0,0.0
18843,58,91,0,0.0
18758,81,63,0,0.0
19112,61,90,0,0.0
18970,68,71,0,0.0
19055,60,73,0,0.0
19063,77,67,0,0.0
18808,56,74,0,0.0
19085,55,79,1,4.3924050632911396
19034,66,72,0,0.0
18971,74,68,0,0.0
18993,51,77,0,0.0
19040,77,77,0,0.0
18905,66,77,0,0.0
18936,61,84,1,3.6955503512880563
18922,67,92,0,0.0
19100,71,71,1,3.7889307677048203
19333,68,64,0,0.0
18879,74,90,0,0.0
18911,66,80,1,3.581628787878788
18944,59,77,0,0.0
19007,84,87,0,0.0
18907,80,71,0,0.0
18571,68,70,0,0.0
18916,85,77,0,0.0
19085,72,91,1,2.9128510378510377
18916,68,79,0,0.0
18854,64,61,0,0.0
18910,71,72,0,0.0
19039,54,63,0,0.0
19401,117,126,3,3.9481074481074483
18744,67,75,0,0.0
18764,61,60,0,0.0
18855,53,78,0,0.0
19188,62,107,0,0.0
18911,84,75,0,0.0
18913,79,78,0,0.0
19719,96,141,3,4.370345744680851
18789,70,75,0,0.0
18938,51,84,0,0.0
18928,55,75,0,0.0
18887,58,68,0,0.0
18819,72,70,0,0.0
18973,62,81,0,0.0
19510,116,160,3,3.1535560344827585
18906,62,80,0,0.0
19199,79,70,1,3.4717902350813743
19138,57,83,0,0.0
19125,65,82,1,3.5881801125703565
18939,68,68,0,0.0
19470,89,92,2,4.755740107474352
18934,73,85,0,0.0
18860,64,69,0,0.0
19065,76,86,0,0.0
19067,73,69,0,0.0
18943,81,78,0,0.0
18993,71,76,0,0.0
19300,112,148,4,4.6573359073359075
18935,52,74,0,0.0
18865,55,70,0,0.0
18936,60,75,0,0.0
18711,60,103,0,0.0
