NT,NR,NTR,g2(0)
133239,3950,45,2.137588293084446
134125,3874,41,1.972670336475011
133856,3948,37,1.7503574438050866
133609,4072,46,2.1137535865619443
133835,3963,37,1.7440059293939105
133666,4065,36,1.6563839272675192
133774,3998,30,1.4023188130612019
133119,4106,33,1.5093673699078187
133495,3930,32,1.5248686540089227
133603,4029,32,1.4861974419209225
133575,4059,42,1.9366229086720455
133759,4076,37,1.6966198512328878
132529,4031,40,1.871872572409408
134209,4028,34,1.5723449255948994
133373,4063,40,1.8453776553284404
133658,4072,36,1.653635480120641
134155,4018,47,2.1798221966340985
133732,4009,44,2.051735105001871
133883,4094,36,1.6419851905998712
133455,4039,34,1.5769220390800427
133194,3893,38,1.8321226339114922
133384,4015,33,1.5405104964223182
133471,3944,33,1.5672205871372897
133039,3987,37,1.7438797122827725
133757,4054,27,1.2448112624356138
133947,4106,39,1.7727711665413564
132912,4001,45,2.11553287192828
133594,4092,39,1.783536646267105
132851,4050,48,2.230290297372969
132875,4077,35,1.6151916621037503
133808,4182,47,2.0997701554060084
134931,4093,37,1.6748975568827031
133716,4001,32,1.495333486619969
133791,3991,44,2.0600798658129897
133599,4098,36,1.6438695386996316
134113,4038,32,1.4772459056070815
133472,4077,47,2.1592701794695697
132877,3974,32,1.5149988732764004
132977,3866,32,1.5561505350156415
133825,4017,35,1.6276797829289038
133849,4009,42,1.9567624780381132
134226,4065,38,1.7411107909300003
133261,4050,34,1.5749284727705521
133566,4040,40,1.8532018064121671
134056,4065,40,1.8350723580041195
133208,4086,36,1.6535367033557802
133616,4054,39,1.7999581390658514
133477,3983,33,1.5518052083213754
132746,4023,30,1.4043966581067004
133897,4025,38,1.7627343758299059
