NT,NR,NTR,g2(0)
132390,2615,27,1.949740879437123
132243,2573,15,1.1020943822519849
132119,2459,20,1.5390268538054783
132510,2593,27,1.964502573542027
132639,2557,15,1.1056796099084496
132377,2513,24,1.8036249199532475
132422,2504,25,1.8848880018247407
131620,2502,26,1.973804636582483
131467,2666,36,2.5678261168127725
132896,2616,29,2.0853951419371133
132437,2639,20,1.4306100765427034
132079,2512,27,2.0344656689012073
133027,2676,27,1.8961726000463646
132952,2530,25,1.8580809098210607
132007,2533,24,1.7943993333615074
133177,2543,27,1.9930958510119337
133091,2564,28,2.0513101594910057
132843,2624,27,1.9364276149931616
132328,2631,18,1.2925278722433742
133069,2533,25,1.854248491376752
132522,2553,22,1.625638189345741
132474,2517,22,1.6494867226185759
132605,2633,20,1.4320535075909504
132777,2534,25,1.8575929534015407
132630,2638,23,1.643430277427608
131990,2529,25,1.8723634688286381
132377,2626,27,1.941764319049057
132538,2600,34,2.466636564027501
132685,2631,26,1.8619614271201015
131662,2532,25,1.8748039854937089
132190,2607,30,2.1763143698294583
132307,2533,20,1.4919421799240435
132332,2510,21,1.5805953708365763
132510,2442,26,2.0087183320146873
132434,2619,29,2.090273003666316
133365,2592,26,1.8803404561786945
132411,2575,17,1.2464866490648088
132339,2402,20,1.5729291197431239
131886,2535,26,1.9441810079178716
132411,2608,21,1.5202942427864385
133005,2612,17,1.223341728623888
133305,2655,23,1.6246390211027188
132440,2625,22,1.5820281601012498
132296,2544,18,1.337053217427815
133102,2612,23,1.6539032127325903
133220,2562,29,2.1241708848305603
132170,2553,29,2.1485937187388875
132437,2595,35,2.5460173356429054
132746,2568,25,1.8334267119558851
132404,2587,35,2.554527125965934
