NT,NR,NTR,g2(0)
8291,10281,0,0.0
8215,10385,3,3.516472181335093
8322,10672,0,0.0
8287,10458,0,0.0
8345,10359,0,0.0
8314,10278,2,2.3405146407850688
8400,10278,2,2.3165522289865548
8196,10392,3,3.522249911802862
8306,10253,1,1.1742406637710048
8362,10229,1,1.1691134535520227
8333,10266,0,0.0
8242,10314,0,0.0
8250,10455,2,2.318739764937756
8317,10440,2,2.3033651704467193
8296,10396,0,0.0
8486,10487,0,0.0
8389,10235,0,0.0
8442,10135,0,0.0
8278,10476,1,1.1531321698875494
8333,10339,0,0.0
8224,10388,3,3.511609474565834
8168,10155,0,0.0
8315,10533,1,1.1417884940717486
8295,10443,0,0.0
8377,10577,1,1.1286232177050193
8293,10510,0,0.0
8224,10495,1,1.1586024844144795
8225,10459,1,1.1624490593026293
8345,10329,0,0.0
8512,10310,1,1.139487905019581
8406,10361,1,1.1481772582689027
8318,10490,0,0.0
8274,10215,1,1.183167175251077
8382,10422,0,0.0
8358,10470,1,1.1427492673263073
8446,10398,2,2.277346455950176
8305,10366,1,1.1615800881012033
8292,10297,1,1.1711971147699622
8095,10324,0,0.0
8388,10357,0,0.0
8205,10255,0,0.0
8323,10471,1,1.1474451794583034
8293,10278,3,3.5196621349608814
8180,10387,3,3.530838223348115
8388,10399,1,1.1464364879000737
8217,10328,2,2.3566792579326057
8244,10334,0,0.0
8173,10350,1,1.182165147288911
8269,10448,0,0.0
8256,10303,0,0.0
8311,10402,2,2.313448648415053
8326,10377,0,0.0
8270,10332,0,0.0
8455,10282,1,1.1502938253032664
8298,10391,4,4.639051737001302
8407,10290,0,0.0
8221,10418,1,1.1675916989741237
8236,10292,0,0.0
8326,10370,0,0.0
8329,10342,1,1.1609208321879882
8313,10151,0,0.0
8295,10476,1,1.1507689092621016
8224,10270,0,0.0
8210,10372,0,0.0
8353,10284,0,0.0
8182,10300,0,0.0
8303,10391,1,1.159064534314007
8220,10246,1,1.1873365334427584
8289,10234,1,1.1788334419864117
8168,10334,1,1.1847202553233271
8151,10362,1,1.1839831423533005
8306,10279,1,1.171270505462021
8164,10345,1,1.1840403672514328
8388,10383,0,0.0
8168,10182,0,0.0
8203,10304,2,2.366199913226717
8285,10222,0,0.0
8208,10360,2,2.3519760361865627
8139,10335,0,0.0
8333,10309,0,0.0
8417,10372,0,0.0
8246,10543,2,2.3005011710816237
8488,10338,0,0.0
8284,10421,0,0.0
8299,10088,2,2.38890652963644
8328,10459,1,1.1480719876037615
8375,10322,1,1.1567814868690842
8213,10154,2,2.3982310072515074
8222,10251,1,1.186468722869168
8131,10200,1,1.205746103631466
8207,10088,1,1.2078430175126609
8343,10202,1,1.174877095519599
8328,10184,1,1.1790735387222842
8385,10329,1,1.1546188825332893
8170,10456,2,2.3412207499585604
8412,10319,0,0.0
8357,10340,1,1.1572549819248346
8384,10194,0,0.0
8284,10365,0,0.0
8380,10419,1,1.145328172026459
8361,10311,0,0.0
8340,10451,0,0.0
8327,10218,2,2.3505826847664353
8361,10387,0,0.0
8199,10384,2,2.3491158209943674
