NT,NR,NTR,g2(0)
132694,2535,17,1.2634547150628685
132680,2431,26,2.01522218227604
132446,2490,26,1.9709479841356272
132288,2528,24,1.7941292645734968
132980,2480,25,1.89514309694885
132429,2531,26,1.9392692533314235
132173,2512,28,2.10831577086217
132360,2549,14,1.037388550384065
132899,2376,28,2.216817241760996
131452,2496,20,1.5239061621010925
132409,2455,24,1.8457898280029976
132124,2567,15,1.1056653146728792
132359,2526,22,1.64503774036611
132562,2473,15,1.143900114812797
131865,2422,22,1.7221025569684834
132435,2510,28,2.1058214380744853
131946,2443,17,1.318466908518791
132933,2449,17,1.3054713314087738
132812,2548,22,1.625271609481298
132344,2494,30,2.2722732587588195
132883,2506,23,1.7267018477013054
131983,2466,20,1.5362395310575985
132565,2431,18,1.3963641129892534
132222,2425,28,2.1831449669074208
132643,2465,18,1.376294119803253
132780,2538,18,1.3353288487649277
132507,2431,18,1.3969753193296988
132288,2489,21,1.5944612025860085
132511,2449,24,1.848887702532975
132045,2411,20,1.5705466219984359
132139,2602,26,1.890492890993441
132620,2433,18,1.3946376368813598
132710,2465,27,2.063398925473546
131878,2480,24,1.8345401346014327
132509,2518,18,1.3486877457050575
133181,2515,18,1.3434832397405685
132263,2518,25,1.8766614045881593
132695,2587,21,1.5293550303465548
132762,2475,21,1.5977554731113732
132479,2541,31,2.302236824483575
132816,2499,19,1.4311229852741
132676,2482,18,1.3665274719759228
132315,2539,18,1.3394938740256912
132461,2522,22,1.646378090033904
131592,2473,24,1.8437313760084382
131880,2477,19,1.454081217201285
132579,2524,27,2.0171569146901844
132126,2479,23,1.755508879983686
133677,2607,23,1.649947490492852
132840,2474,20,1.521393099496431
