NG,NGT,NGR,NGTR,g2(0)
19044,28,30,0,0.0
19005,27,36,0,0.0
18935,36,31,0,0.0
19057,29,32,0,0.0
19234,41,34,0,0.0
19090,37,31,0,0.0
18839,37,39,0,0.0
19282,35,41,0,0.0
18780,25,49,0,0.0
19012,23,45,1,18.369082125603864
18921,38,42,0,0.0
18933,32,33,0,0.0
19005,25,34,0,0.0
19092,28,37,0,0.0
18781,37,48,0,0.0
19493,52,62,0,0.0
18804,32,40,0,0.0
18947,43,47,0,0.0
18926,38,47,0,0.0
18818,39,35,0,0.0
18719,44,32,0,0.0
18814,32,36,0,0.0
18696,27,37,0,0.0
19145,35,49,0,0.0
18924,43,37,0,0.0
19076,37,43,0,0.0
18595,40,30,0,0.0
18939,35,33,1,16.397402597402596
18807,37,31,0,0.0
18754,29,44,0,0.0
19023,25,31,0,0.0
19335,39,39,0,0.0
18984,31,35,0,0.0
18699,32,46,0,0.0
19113,35,44,0,0.0
18908,36,33,0,0.0
18874,39,51,0,0.0
18703,35,27,1,19.79153439153439
19285,45,34,0,0.0
19042,42,49,0,0.0
18814,39,49,0,0.0
18779,36,24,0,0.0
18872,21,37,0,0.0
18985,40,31,0,0.0
18940,37,45,1,11.375375375375375
18936,27,33,0,0.0
19103,43,33,0,0.0
18770,28,40,0,0.0
19069,34,47,0,0.0
19150,39,28,0,0.0
18933,32,39,0,0.0
18804,32,37,0,0.0
19112,40,36,0,0.0
18814,38,38,0,0.0
18903,41,44,0,0.0
18781,46,40,0,0.0
19143,34,37,0,0.0
19009,28,42,0,0.0
18873,35,39,0,0.0
19012,46,43,0,0.0
19130,34,32,0,0.0
18984,42,33,0,0.0
18967,46,42,0,0.0
18733,42,38,0,0.0
18804,36,35,0,0.0
18760,28,23,0,0.0
19120,40,30,0,0.0
18938,43,51,1,8.635658914728682
18987,35,27,0,0.0
18812,30,40,0,0.0
18871,44,37,0,0.0
18840,37,29,0,0.0
18972,46,33,0,0.0
19264,42,37,0,0.0
18924,36,43,0,0.0
19072,34,27,0,0.0
19223,41,35,0,0.0
18961,31,52,0,0.0
18867,36,29,0,0.0
18785,32,31,0,0.0
23761,243,319,3,0.9195789310731839
18833,29,43,0,0.0
19074,36,42,0,0.0
18912,33,34,0,0.0
18663,33,35,1,16.15844155844156
18832,35,39,0,0.0
18934,39,46,0,0.0
18961,35,38,0,0.0
18985,38,38,0,0.0
19046,39,33,0,0.0
19072,33,36,0,0.0
19007,34,47,0,0.0
18855,38,41,0,0.0
18846,36,40,0,0.0
19093,32,37,0,0.0
18991,29,32,0,0.0
19022,42,43,0,0.0
18872,24,37,0,0.0
18798,31,34,0,0.0
18989,27,47,0,0.0
19050,36,34,0,0.0
18803,37,35,0,0.0
19165,39,41,0,0.0
18677,32,48,0,0.0
19107,38,52,0,0.0
18820,39,26,0,0.0
19046,31,40,0,0.0
19012,39,43,0,0.0
19306,34,42,0,0.0
19009,20,44,0,0.0
19099,31,47,1,13.10844200411805
18902,39,38,0,0.0
18931,40,28,0,0.0
18804,38,24,0,0.0
18957,35,43,0,0.0
19137,30,36,0,0.0
19141,37,33,0,0.0
18857,28,33,0,0.0
19150,31,36,0,0.0
18929,34,38,0,0.0
19148,34,38,0,0.0
19011,34,37,0,0.0
19261,33,45,0,0.0
19104,27,36,0,0.0
19119,39,48,0,0.0
18795,39,45,1,10.709401709401709
19117,41,38,1,12.270218228498074
18931,43,43,0,0.0
18872,26,39,0,0.0
19063,28,47,0,0.0
18904,38,43,0,0.0
18983,31,52,0,0.0
18779,28,36,0,0.0
18882,29,40,0,0.0
19039,33,41,0,0.0
19042,34,37,0,0.0
18612,40,47,0,0.0
19027,28,41,0,0.0
18845,44,45,0,0.0
19102,38,37,0,0.0
19032,33,48,0,0.0
19086,40,31,0,0.0
19227,46,40,0,0.0
18832,39,46,0,0.0
18962,24,36,0,0.0
18890,34,38,0,0.0
19259,33,44,0,0.0
18771,33,46,0,0.0
18974,47,30,0,0.0
18808,31,45,0,0.0
