delay_ns,g2_counts_mean,g2_counts_std,g2_counts_sem,n_counts,g2_file_mean,g2_file_std,g2_file_sem,n_file,g2_counts_norm,g2_counts_norm_std,g2_counts_norm_sem,g2_file_norm,g2_file_norm_std,g2_file_norm_sem
5.0,0.0,0.0,0.0,149,0.0,0.0,0.0,150,0.0,0.0,0.0,0.0,0.0,0.0
25.0,0.5849501310821796,5.322311146441446,0.43456488537029664,150,0.5849501310821812,5.322311146441462,0.4345648853702979,150,0.6610822528814417,6.015017787441452,0.4911241457665402,0.6610822528814434,6.0150177874414705,0.4911241457665416
50.0,0.8515675722411826,3.468190198884137,0.2831765439395948,150,0.8515675722411832,3.4681901988841397,0.283176543939595,150,0.9624003470116176,3.9195802655142082,0.32003238854641397,0.9624003470116181,3.9195802655142113,0.3200323885464142
100.0,0.7826677896590992,1.6431132907357107,0.13415963839626124,150,0.7826677896590993,1.643113290735711,0.13415963839626127,150,0.8845331561655553,1.8569669075369402,0.15162071308998445,0.8845331561655554,1.8569669075369406,0.15162071308998448
150.0,1.0304039678984447,1.6635151040766691,0.13582543948002307,150,1.030403967898445,1.6635151040766691,0.13582543948002307,150,1.164512563175375,1.8800240469572793,0.15350332064025252,1.1645125631753752,1.8800240469572793,0.15350332064025252
250.0,0.92927135514745,0.8976445161479972,0.07329236783233627,150,0.92927135514745,0.8976445161479972,0.07329236783233627,150,1.0502173918014903,1.0144742730870857,0.08283147754147456,1.0502173918014903,1.0144742730870857,0.08283147754147456
350.0,0.8118016863006335,0.620445514858578,0.05065916415339716,150,0.8118016863006335,0.620445514858578,0.05065916415339716,150,0.9174588723994658,0.7011974131778946,0.05725252904151171,0.9174588723994658,0.7011974131778946,0.05725252904151171
500.0,0.9159858941344265,0.668568670368424,0.054588403347121416,150,0.9159858941344265,0.668568670368424,0.054588403347121416,150,1.035202808454343,0.7555838683127231,0.061693164508148365,1.035202808454343,0.7555838683127231,0.061693164508148365
750.0,0.8307401833958642,0.4622226186415551,0.037740318774828994,150,0.8307401833958642,0.46222261864155506,0.037740318774828994,150,0.9388622428077114,0.522381573791612,0.04265227689404958,0.9388622428077114,0.5223815737916119,0.04265227689404958
900.0,0.9077853476330973,0.7221816577764001,0.05896588543831478,150,0.9077853476330973,0.7221816577764001,0.05896588543831478,150,1.0259349487379459,0.8161746650594458,0.06664038234608695,1.0259349487379459,0.8161746650594458,0.06664038234608695
