NT,NR,NTR,g2(0)
133191,4458,47,1.978895782149194
133957,4351,39,1.6728234949696663
133423,4400,59,2.5125148791982848
133535,4416,41,1.7381997771848339
133827,4459,41,1.7176815489227049
133782,4609,41,1.6623385371795183
133976,4417,39,1.6475940280728931
133641,4660,43,1.726167084045839
133987,4573,49,1.9992735668056063
135003,4539,44,1.7951018026466155
133940,4494,42,1.7443994311862336
133582,4416,52,2.203770402981049
133766,4505,38,1.576460412598189
133872,4504,40,1.658486216573144
133731,4400,40,1.6994767650935632
133626,4472,46,1.924443110342387
133626,4653,55,2.21145790663253
132907,4514,46,1.9168513297342689
133495,4624,54,2.187010879066917
133598,4532,46,1.8993630388603602
133799,4552,60,2.4628396572772755
133564,4472,35,1.4649298931096073
134030,4373,53,2.2606554887461243
133698,4487,36,1.5002427242703598
133299,4430,46,1.9474540653586245
133622,4398,36,1.531472901414005
133690,4483,52,2.1690806003154144
133841,4364,32,1.3696704061430922
133670,4508,61,2.5307659827082136
133168,4491,49,2.048298072642809
133782,4371,36,1.5390900081076184
133562,4386,44,1.8777645858556407
133930,4464,42,1.7562536680612326
133304,4473,42,1.7609507894553704
134170,4431,34,1.429755434277532
133278,4380,35,1.4989097187661646
133574,4344,42,1.8095790137475891
133653,4397,34,1.4463844651801412
133687,4512,52,2.155187620156683
133600,4446,35,1.4730996845714779
133615,4451,47,1.9757184538316592
133332,4384,34,1.4541660015140296
133929,4377,51,2.1749987516786575
133832,4395,32,1.3601009358106484
133660,4550,37,1.5209988275976603
134565,4467,51,2.121104750209097
134642,4506,45,1.854303341597032
133739,4469,41,1.7149657030868903
133944,4445,44,1.8475561903982571
133575,4387,43,1.8344912599503551
