NT,NR,NTR,g2(0)
132965,4059,35,1.6212562518072955
132872,3943,43,2.051862314518709
133599,4014,43,2.00460075079179
133523,3968,30,1.4155770674280352
133975,4043,42,1.9384820863716539
133531,4065,43,1.9804588037717479
133649,4170,31,1.3905926639544188
133014,4182,34,1.5280499234691478
132813,4034,29,1.3531985569221816
134042,4058,32,1.470743863786351
134577,4134,29,1.3031568509171918
133683,4017,35,1.629408727739956
133860,4191,33,1.4705692043985312
133514,4136,39,1.7656201572208148
133300,4181,37,1.6597069621387648
134302,4144,34,1.527273086892452
133250,4104,41,1.8743439796071375
134129,4209,53,2.3470063564601973
133504,4066,41,1.888261824667672
133986,4100,41,1.8658665830758439
134049,4060,34,1.56181400764892
133858,4062,37,1.7012082565886102
133717,4168,42,1.883974257547994
132934,4093,36,1.6541111604089331
134345,4122,54,2.437834806137688
133297,4288,44,1.924498306385505
133296,4205,40,1.7840905084814949
133376,4099,33,1.5090316256153482
133664,4243,39,1.7191632956725016
133670,4022,43,1.9995508357806286
133941,4033,42,1.9437819279718722
133839,4090,41,1.8724829604507303
134168,4187,39,1.7356122585677902
133993,4111,35,1.5884679824118217
133697,4299,41,1.783342493015339
134059,4197,45,1.9994823633418721
133979,4078,42,1.921787417798609
134100,4090,29,1.3218613996415476
134250,4127,48,2.165870483652416
133611,4155,40,1.8013029382556314
133131,4062,42,1.9416465964205556
134306,4262,35,1.5286187869533983
133211,4047,32,1.4839412047135903
134186,4128,46,2.076112793568848
133781,4064,37,1.7013497261684054
134227,4146,40,1.7969285897451779
133837,4147,37,1.6666004861115076
133647,4181,35,1.5659167548595458
133315,4158,33,1.4882998793286457
133732,4088,31,1.4176057814141587
