NT,NR,NTR,g2(0)
8141,10470,49,1.9162421505930904
8358,10327,55,2.1240507588194504
8391,10362,48,1.8401900309039212
8062,10436,51,2.0205614232131035
8339,10376,48,1.849166622209619
8271,10365,47,1.8274658750395552
8325,10454,46,1.7618536845626953
8373,10225,40,1.5573790517527764
8265,10405,51,1.9768056738974145
8410,10375,40,1.5281100621272246
8272,10285,36,1.4104783496274924
8438,10506,44,1.654453267042098
8407,10623,44,1.6422648320523126
8334,10438,47,1.8009672466287003
8153,10451,47,1.8386595133109735
8433,10321,43,1.6468093438537488
8408,10546,57,2.1427580282151157
8419,10469,53,2.004420821979471
8458,10718,49,1.8017452749009542
8347,10529,53,2.010189849573663
8305,10595,46,1.7425930561265546
8276,10521,50,1.9141291936445946
8238,10445,38,1.472082364712822
8258,10538,43,1.6470778548268028
8119,10410,33,1.3014857406264333
8147,10517,59,2.2953090376272227
8205,10418,58,2.2617458408346276
8063,10447,50,1.978611345896431
8273,10581,53,2.018203133660959
8233,10393,46,1.7919980562898299
8323,10202,43,1.6880370985644624
8086,10600,43,1.6722746201603205
8138,10220,50,2.0039190243575553
8208,10578,48,1.8428036857547956
8192,10498,46,1.782953697529688
8153,10395,45,1.7699024199698796
7994,10537,40,1.5829150658349807
8140,10465,41,1.604349430436387
8330,10333,56,2.168679336633521
7924,10346,52,2.1142928833649677
8184,10512,53,2.053542247237931
8186,10587,49,1.8846476700797017
8295,10580,50,1.8990950052661904
8211,10629,42,1.6041300574110127
8180,10372,44,1.7286839905947018
8201,10462,43,1.670573828046033
8370,10527,58,2.1942022593700665
8211,10517,70,2.702021866220033
8218,10531,54,2.079872704395388
8087,10619,46,1.7855232638368475
8223,10654,49,1.8643688693226037
8222,10352,34,1.3315452403931047
8181,10427,48,1.8756604302950246
8379,10557,43,1.6203711004794417
8319,10449,59,2.2624808056784644
8204,10565,38,1.4613935587463673
8198,10526,51,1.9700517826952224
8188,10393,45,1.7626760261159957
8262,10627,47,1.7843528217994702
8170,10543,69,2.670186359271717
8313,10606,49,1.8525307350538747
8244,10621,43,1.6369816415782859
8310,10560,51,1.9372424607081644
8216,10542,42,1.6163841873660822
8002,10441,47,1.8751497676134872
8391,10500,57,2.1565055530017987
8186,10510,42,1.6272473739133182
8430,10513,56,2.106262682475221
8349,10456,43,1.6419017480495504
8286,10532,40,1.5278578757269126
8524,10548,44,1.631239989747508
8318,10493,52,1.9859280044117542
8424,10510,55,2.0707151482074835
8331,10479,51,1.947295886993792
8270,10470,58,2.2328242878926643
8258,10452,46,1.776488078328356
8068,10622,45,1.750326517577432
8218,10620,55,2.100635889219032
8478,10370,57,2.1611326883148463
8163,10521,44,1.7077512215864692
8127,10669,48,1.845295861648389
8235,10591,52,1.9873827565996345
8106,10512,49,1.9168268038545087
8172,10521,54,2.09356826518978
8285,10494,55,2.108666323375789
8325,10592,47,1.776701172471565
8331,10479,56,2.1382072484637717
8342,10358,33,1.2730533174635277
8216,10627,54,2.061585703920192
8287,10576,39,1.48328488544568
8313,10589,46,1.7419025228243095
8234,10425,51,1.980441393788054
8159,10483,48,1.870671215655806
8048,10444,55,2.18115537592776
8340,10632,50,1.8796099313175494
8259,10393,50,1.9416920668143538
8294,10653,53,1.9994873314482167
8172,10387,44,1.727877431537844
8250,10517,41,1.5751313649953944
8277,10655,40,1.511862612659986
8180,10307,52,2.0558740710710923
8068,10343,41,1.63775972812102
8105,10504,63,2.466672899909931
8216,10503,47,1.8155273977299509
8409,10520,60,2.2608403905466123
8216,10328,54,2.121269488338486
8206,10497,61,2.360542752397338
8249,10502,64,2.4625519532088656
8062,10585,50,1.9530577873472401
8183,10807,53,1.9977305554731646
8328,10407,49,1.884553861180101
8137,10640,43,1.655546017557104
8176,10483,53,2.0612380284073133
8419,10595,47,1.756366450015128
8117,10488,38,1.4879012795355842
8183,10158,37,1.4837465074111011
8290,10454,43,1.6539035315763646
8159,10533,55,2.1333023779522096
8235,10585,46,1.7590659054117754
8168,10621,54,2.074872273168277
8213,10513,53,2.0460965714266233
8323,10381,49,1.8904088406103674
8336,10393,59,2.2700327543410874
8190,10484,44,1.7081283773386022
8242,10406,50,1.9432662939108807
8280,10407,41,1.586012882757131
8097,10612,46,1.7844944285989095
8262,10548,54,2.065461924035615
8083,10420,46,1.8205234574843259
8105,10517,48,1.8770467508408728
8119,10561,54,2.099253669836543
8252,10597,63,2.4014698642291274
