NT,NR,NTR,g2(0)
133709,4240,44,1.940287955666043
133560,4026,37,1.7202499417160724
133286,3840,43,2.100355001025364
133562,3875,29,1.4008233943303363
134035,4041,42,1.9385733136163812
134130,4299,38,1.6475182556728778
133817,4238,42,1.8514716111759526
133545,4022,32,1.4894306556367625
133817,4060,40,1.840613813784585
133918,4200,36,1.6001263033028739
133645,4240,37,1.6323871252833295
133443,4283,32,1.3997359457627097
134419,4189,40,1.7759428231372054
134121,4195,41,1.8217765913776167
133491,4273,41,1.796962384281079
133440,4218,47,2.087590240751922
133673,4207,38,1.6893023970804475
133522,4209,37,1.645924758448264
133871,4279,47,2.0512050289248798
134141,4350,37,1.5852250852529766
134211,4172,34,1.5180515293554768
133700,4281,40,1.7471225328664322
134313,4118,49,2.2147856289825034
133594,4197,53,2.3631427435703443
133731,4027,31,1.4390900841740872
134146,4140,40,1.8006194274880114
133715,4197,41,1.8264372985723647
133759,4137,44,1.987852475677708
133664,4032,31,1.438025957530087
134220,4047,46,2.1171293919895264
133514,4201,41,1.827445258948583
133745,4168,38,1.7041912844572231
133347,4063,32,1.4765899736724193
133640,4069,38,1.7470263221329698
134352,4051,45,2.0670269709647866
133382,4166,46,2.0695758578123784
133933,4124,46,2.0820520716805557
134136,4194,48,2.13308159557575
133513,4371,41,1.7563841303116527
134008,4189,43,1.9149938266299475
134069,4169,39,1.7443930613440009
134240,4100,33,1.498953457949359
133608,4227,52,2.3018585971238497
133368,4126,45,2.04442724678302
134316,4145,32,1.4369369160625156
134277,4099,44,1.99854134461422
133486,4214,34,1.5110842366458606
133740,4233,32,1.41312441419369
133933,4169,40,1.790937821312714
133682,4038,30,1.3893831078979584
