NT,NR,NTR,g2(0)
133566,4287,43,1.8774097143102502
133834,4282,47,2.0503346226372563
133898,4279,43,1.876255972292932
133005,4230,47,2.088476205990585
133723,4226,55,2.433139976624656
134170,4138,35,1.5760215330291063
133634,4243,52,2.2927323161547637
133537,4228,45,1.9925807416210528
133968,4178,53,2.367262229108734
133579,4323,46,1.991472973364411
133542,4183,43,1.9244326807365502
133419,4243,49,2.1639408016667936
133440,4134,42,1.9034119583868465
133361,4056,32,1.4789830518451446
133420,4317,59,2.56087886167945
134043,4173,48,2.145303405514158
133841,4244,47,2.0685847495228367
133314,4136,40,1.8136092015740735
133309,4106,47,2.1466411531453735
133581,4313,59,2.5601645037086485
133232,4242,43,1.9020820745973448
133259,4170,52,2.3394337307077473
133354,4293,56,2.445463021715212
134235,4146,56,2.5155500975305722
133783,4090,46,2.101713925775542
133127,4183,36,1.6161754278408278
133547,4159,42,1.8904545571516307
132909,4245,51,2.2598421242388356
133238,4143,47,2.1286037764648356
133628,4228,53,2.3452191470473718
132999,4246,62,2.7447534065196506
133885,4112,48,2.1796974550869703
133397,4234,49,2.1688982197821516
134200,4094,58,2.639171715068469
134029,4197,41,1.8221583640749672
132975,4120,67,3.0573671596785292
134560,4295,47,2.033099904625986
133686,4155,42,1.890306997198187
133056,4171,48,2.162253420944382
134128,4312,47,2.031606836611864
133638,4235,63,2.782897278066725
133469,4167,50,2.247533149419314
132941,4124,49,2.2343874882880703
133617,4130,48,2.174550399473063
133444,4244,53,2.339599131778117
133802,4142,51,2.3005807690747324
133237,4251,56,2.4717929275531776
133246,4287,47,2.056980632321168
132926,4102,51,2.3383234905014145
133327,4212,37,1.6471580120853462
