NT,NR,NTR,g2(0)
133775,3905,45,2.153557761170923
133220,3987,39,1.8356460779472934
133560,3970,37,1.7445154320778102
134007,3965,32,1.5056336435192714
133987,4104,29,1.3184631350651383
133250,4047,49,2.271619910702158
132919,4037,29,1.3511146154199565
133379,4143,33,1.4929716405585105
133790,4130,28,1.2668474880314584
133582,4021,39,1.81519213495977
133333,4006,46,2.1530258518606855
134447,4087,40,1.8198862607848711
133226,4090,34,1.559935454642454
133537,4113,43,1.9572582821388762
133781,4030,37,1.715703545198114
133868,4186,46,2.0522101975473954
133316,4167,39,1.7550877726415448
133015,4059,32,1.4817342406473653
133941,4079,39,1.7845855549616028
133587,4102,39,1.7792819078816156
133157,3994,30,1.4102275697767535
133569,4130,38,1.7221377196434842
133497,4294,37,1.6136457054159312
133671,4156,34,1.5300519960629926
133600,4062,35,1.6123587389475114
133025,4129,29,1.3199572206416368
133126,4120,46,2.0967069812976655
133818,4025,47,2.1815112005747306
133053,4178,38,1.7089544937690566
133222,4046,48,2.2262781216680736
133347,4178,38,1.7051866353157874
133712,4004,39,1.8211267014665362
133678,4082,44,2.0158571132329444
133426,4109,35,1.5959947019104515
132729,4086,40,1.8438934234469124
134143,4040,42,1.937492005538939
133181,4186,40,1.7937359175811065
133130,4118,33,1.5048446695683961
133567,4196,45,2.0073258221258947
133600,4090,37,1.6928246197092367
133126,4203,35,1.5638164597912636
133914,4197,45,2.0016473718001704
133276,4176,43,1.931505834865314
132993,4229,33,1.4668559967038732
132906,4228,42,1.8685715532852327
133713,4166,39,1.7502968745848093
133355,4111,30,1.3680579143787457
132724,4172,42,1.8962497539931984
133632,4117,43,1.9539665688570984
134069,4072,36,1.6485661189534095
